Papel;Cotação;P/L;P/VP;PSR;Div.Yield;P/Ativo;P/Cap.Giro;P/EBIT;P/Ativ Circ.Liq;EV/EBIT;EV/EBITDA;Mrg Ebit;Mrg. Líq.;Liq. Corr.;ROIC;ROE;Liq.2meses;Patrim. Líq;Dív.Brut/ Patrim.;Cresc. Rec.5a
RDTR3;6,30;8,11;1,37;0,000;0,00%;1,320;0,00;-1.919,75;0,00;-1.897,05;-219,41;0,00%;0,00%;0,00;0,00%;16,95%;0,00;497.092.000,00;0,00;0,00%
FIQE3;3,79;8,14;1,22;1,419;6,35%;0,617;4,87;5,93;-3,68;6,06;3,02;23,93%;17,43%;1,63;14,19%;15,03%;2.320.960,00;1.121.340.000,00;0,51;29,71%
FIGE4;38,01;8,15;0,54;0,000;0,13%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;6,67%;0,00;165.355.000,00;0,00;45,08%
SHUL4;6,18;8,16;1,62;1,155;8,10%;0,853;1,87;9,25;4,01;8,46;6,60;12,49%;14,14%;2,99;15,98%;19,86%;1.700.020,00;1.362.740.000,00;0,57;19,59%
BRSR5;17,30;8,18;0,70;0,000;3,28%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;8,57%;1.223,64;10.096.100.000,00;0,00;7,31%
EQPA5;8,14;8,19;4,18;1,695;9,34%;1,174;22,22;5,60;-3,08;6,50;5,69;30,29%;20,70%;1,19;26,15%;51,07%;825,47;4.299.200.000,00;1,14;17,70%
CMIN3;6,91;8,20;3,23;2,100;7,45%;1,228;4,40;5,94;-7,11;5,49;4,67;35,33%;25,62%;2,67;36,91%;39,37%;78.462.800,00;11.746.500.000,00;0,76;-4,26%
CAML3;8,79;8,21;0,95;0,268;3,33%;0,264;0,93;4,60;-2,74;9,76;7,01;5,82%;3,26%;1,83;8,70%;11,61%;4.732.070,00;3.227.230.000,00;1,70;17,44%
CEBR3;18,95;8,21;1,33;3,871;10,02%;0,972;2,12;10,69;2,35;5,74;5,40;36,22%;62,64%;9,62;16,75%;16,19%;62.357,70;1.027.530.000,00;0,00;-42,29%
TTEN3;11,47;8,21;1,59;0,524;1,03%;0,670;2,47;6,78;6,02;7,18;6,56;7,73%;6,38%;1,65;18,89%;19,36%;13.161.700,00;3.594.630.000,00;0,55;33,35%
CPRE3;18,23;8,24;2,60;3,021;0,00%;0,988;-7,24;5,16;-1,99;5,40;4,33;58,59%;37,28%;0,46;20,44%;31,53%;0,00;4.167.800.000,00;0,25;16,26%
EQPA7;8,24;8,29;4,23;1,716;9,22%;1,188;22,49;5,67;-3,11;6,57;5,75;30,29%;20,70%;1,19;26,15%;51,07%;0,00;4.299.200.000,00;1,14;17,70%
REDE3;6,87;8,34;3,36;0,852;9,83%;0,491;8,80;3,30;-0,97;5,72;4,81;25,87%;14,18%;1,25;17,79%;40,32%;11.510,40;4.309.280.000,00;3,27;11,13%
BEES4;9,35;8,35;1,31;0,000;7,01%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;15,72%;39.469,20;2.250.870.000,00;0,00;12,18%
PLPL3;12,17;8,39;3,45;1,036;4,15%;1,202;2,09;3,84;5,79;3,84;3,73;26,95%;13,24%;3,15;43,68%;41,10%;10.386.500,00;719.283.000,00;0,53;28,26%
WLMM4;31,00;8,40;1,53;0,370;4,57%;1,046;2,79;6,34;3,48;6,65;6,45;5,83%;4,40%;2,56;19,69%;18,21%;23.008,40;738.532.000,00;0,25;28,41%
UGPA3;21,34;8,40;1,67;0,185;3,05%;0,621;4,25;4,23;-3,08;6,19;5,10;4,37%;2,29%;1,55;19,02%;19,84%;140.576.000,00;14.283.800.000,00;1,06;12,62%
BBSE3;35,37;8,43;7,03;0,000;7,50%;3,719;0,00;7,51;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;83,37%;165.206.000,00;10.061.700.000,00;0,00;0,00%
TUPY3;25,38;8,46;0,99;0,333;2,65%;0,313;1,00;3,81;-5,93;6,26;4,53;8,74%;3,92%;1,99;12,21%;11,76%;12.147.700,00;3.679.860.000,00;1,30;29,43%
AGIN3;5,29;8,46;1,23;1,816;0,00%;0,565;1,29;10,92;3,55;14,68;14,68;16,63%;21,83%;2,72;5,59%;14,56%;0,00;1.028.210.000,00;0,55;44,17%
AELP3;1,93;8,49;-200,57;-0,062;0,00%;5,216;0,00;-12,58;0,00;-11,94;-11,98;0,49%;-0,73%;0,00;0,00%;-2.363,83%;0,00;-904.000,00;0,00;1,18%
TGMA3;26,85;8,53;2,00;1,017;9,24%;1,397;3,89;7,33;6,35;6,88;6,24;13,87%;11,96%;3,26;25,96%;23,39%;4.198.190,00;888.230.000,00;0,20;12,99%
CPSL3;38,02;8,56;3,49;0,787;0,00%;2,043;7,39;5,79;11,84;5,48;5,48;13,59%;9,20%;1,89;57,15%;40,82%;0,00;1.634.730.000,00;0,17;16,21%
ENGI11;45,29;8,58;1,31;0,669;4,17%;0,281;6,14;2,95;-0,61;6,30;5,06;22,68%;10,35%;1,20;11,60%;15,33%;139.354.000,00;15.775.600.000,00;2,19;11,41%
RANI4;5,50;8,65;1,05;0,840;0,00%;0,376;1,73;3,52;-1,22;6,35;4,52;23,84%;9,71%;2,86;13,52%;12,18%;0,00;1.251.320.000,00;1,34;14,37%
CIEL3;5,83;8,67;1,28;2,530;4,96%;0,158;1,96;15,80;3,95;18,37;12,32;16,01%;29,17%;1,10;4,07%;14,75%;68.929.500,00;12.380.400.000,00;0,29;-7,48%
BRBI11;15,30;8,70;1,90;5,104;9,02%;0,125;2,12;60,49;2,12;11,33;8,60;8,44%;58,68%;1,06;23,64%;21,84%;4.273.650,00;845.754.000,00;13,56;-53,06%
UCAS3;2,17;8,71;0,73;0,649;9,26%;0,401;6,17;23,82;-2,61;30,25;11,08;2,72%;7,45%;1,28;1,97%;8,35%;56.699,50;197.070.000,00;0,39;12,02%
TMGC12;550,00;8,71;1,12;0,800;0,00%;0,770;4,66;12,27;8,22;10,94;10,94;6,52%;9,18%;1,69;8,73%;12,83%;0,00;1.167.010.000,00;0,05;10,49%
EKTR4;45,01;8,72;3,83;0,975;21,21%;0,733;41,14;4,03;-1,49;6,57;5,60;24,21%;11,18%;1,06;21,94%;43,92%;50.211,30;2.277.000.000,00;2,99;7,47%
ACES4;94,73;8,74;2,27;1,683;0,00%;1,430;6,37;7,16;20,65;6,50;6,50;23,52%;19,27%;2,05;26,90%;25,95%;0,00;3.105.800.000,00;0,09;13,34%
SBFG3;16,78;8,74;1,42;0,574;1,03%;0,491;2,12;6,65;-4,62;10,49;6,27;8,62%;6,54%;1,73;9,27%;16,25%;31.769.100,00;2.880.590.000,00;1,06;28,29%
ACES3;95,27;8,79;2,28;1,693;0,00%;1,438;6,40;7,20;20,77;6,54;6,54;23,52%;19,27%;2,05;26,90%;25,95%;0,00;3.105.800.000,00;0,09;13,34%
CZRS4;2,49;8,89;0,30;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;3,34%;0,00;1.145.670.000,00;0,00;14,44%
ITUB3;31,91;8,91;1,69;0,000;7,36%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;18,96%;16.745.400,00;185.129.000.000,00;0,00;68,50%
GRND3;5,62;8,92;1,39;2,053;5,66%;1,266;2,21;12,36;2,23;9,66;8,09;16,61%;23,03%;7,74;14,90%;15,60%;5.414.090,00;3.644.360.000,00;0,02;8,55%
AFLU5;5,03;8,93;2,14;2,911;0,00%;1,875;9,63;8,32;11,92;7,38;7,05;34,98%;32,59%;3,27;31,18%;23,93%;0,00;44.270.000,00;0,00;8,61%
MDIA3;24,95;8,94;1,09;0,823;2,65%;0,653;2,36;6,85;7,44;6,88;5,31;12,01%;9,20%;2,30;13,50%;12,20%;20.990.100,00;7.750.160.000,00;0,33;13,50%
VIVO3;65,79;8,99;2,69;1,366;0,00%;1,175;-29,21;6,21;-4,74;6,65;6,65;22,01%;15,20%;0,89;23,92%;29,88%;0,00;9.816.290.000,00;0,35;13,06%
CNFB4;5,99;9,01;1,57;1,511;0,00%;0,872;3,47;8,27;53,95;10,05;7,85;18,27%;16,77%;2,20;12,01%;17,39%;0,00;1.552.470.000,00;0,47;-10,61%
TAEE3;11,37;9,02;1,74;3,234;10,14%;0,593;7,47;5,75;-1,20;10,18;10,09;56,25%;35,85%;1,92;10,99%;19,24%;1.046.930,00;6.768.230.000,00;1,50;2,58%
TAEE11;34,14;9,03;1,74;3,237;10,13%;0,594;7,47;5,75;-1,20;10,19;10,09;56,25%;35,85%;1,92;10,99%;19,24%;56.559.300,00;6.768.230.000,00;1,50;2,58%
RECV3;17,85;9,06;1,19;1,742;11,22%;0,665;5,00;6,51;-3,84;7,09;3,84;26,76%;19,22%;1,98;13,39%;13,17%;38.063.400,00;4.387.450.000,00;0,48;24,51%
TAEE4;11,44;9,08;1,75;3,254;10,07%;0,597;7,51;5,78;-1,21;10,22;10,12;56,25%;35,85%;1,92;10,99%;19,24%;2.247.270,00;6.768.230.000,00;1,50;2,58%
AFLU3;5,15;9,15;2,19;2,981;0,00%;1,919;9,86;8,52;12,21;7,57;7,24;34,98%;32,59%;3,27;31,18%;23,93%;0,00;44.270.000,00;0,00;8,61%
LEVE4;44,49;9,16;6,07;1,407;0,00%;1,891;5,95;7,54;-34,65;8,32;7,38;18,65%;15,35%;2,01;34,32%;66,25%;0,00;993.590.000,00;1,04;18,41%
POMO4;8,05;9,22;2,45;1,257;6,87%;1,073;3,91;8,22;39,31;9,47;8,30;15,29%;13,77%;1,88;17,40%;26,59%;72.242.800,00;3.730.080.000,00;0,73;19,53%
BBDC3;13,24;9,24;0,88;0,000;9,01%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;9,53%;90.098.500,00;160.086.000.000,00;0,00;-22,80%
BALM3;13,00;9,27;0,81;0,767;5,97%;0,484;1,06;6,01;1,55;3,83;3,10;12,78%;7,24%;2,74;11,32%;8,70%;438,16;157.918.000,00;0,12;3,71%
RNEW4;1,11;9,27;0,31;1,341;0,00%;0,093;-0,80;3,28;-0,14;15,68;7,18;40,88%;14,46%;0,32;2,98%;3,37%;213.138,00;884.947.000,00;1,28;49,08%
BMKS3;307,00;9,28;0,70;8,868;12,79%;0,608;0,84;-32,03;0,97;3,17;3,25;-27,68%;95,60%;27,56;-6,23%;7,51%;46.394,30;200.270.000,00;0,02;-3,61%
MILS3;11,10;9,28;1,81;1,846;4,30%;0,749;3,49;5,28;-3,52;7,10;4,90;34,99%;19,91%;2,36;18,94%;19,52%;9.471.820,00;1.464.620.000,00;1,12;28,54%
VULC3;16,98;9,31;2,23;1,619;18,32%;1,627;3,04;8,66;3,52;8,57;7,21;18,69%;17,38%;3,69;23,23%;23,99%;14.331.700,00;2.087.490.000,00;0,18;28,81%
RAPT3;8,85;9,35;0,96;0,266;5,80%;0,210;0,71;2,28;-2,17;4,76;3,82;11,67%;5,34%;1,99;12,94%;10,30%;447.035,00;3.025.410.000,00;1,98;23,54%
RNEW3;1,12;9,36;0,32;1,353;0,00%;0,094;-0,81;3,31;-0,15;15,71;7,20;40,88%;14,46%;0,32;2,98%;3,37%;98.370,90;884.947.000,00;1,28;49,08%
CSAN3;13,15;9,36;1,24;0,608;3,45%;0,171;1,66;3,06;-0,40;9,47;5,36;19,89%;12,50%;1,79;6,60%;13,25%;128.768.000,00;19.784.300.000,00;3,47;35,84%
HAGA3;2,70;9,42;-0,62;1,144;0,00%;0,499;1,00;-15,61;-0,54;-3,67;-8,23;-7,33%;12,15%;2,30;-11,56%;-6,56%;34.594,00;-52.041.700,00;-0,40;1,28%
BPAC5;8,98;9,44;1,95;0,000;2,92%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;20,63%;38.083,50;53.075.600.000,00;0,00;15,99%
RNEW11;3,40;9,47;0,32;1,369;0,00%;0,095;-0,82;3,35;-0,15;15,75;7,22;40,88%;14,46%;0,32;2,98%;3,37%;31.585,90;884.947.000,00;1,28;49,08%
MRSL4;3,05;9,48;0,91;0,816;0,00%;0,609;2,19;15,08;5,80;16,51;8,83;5,41%;8,69%;2,78;4,44%;9,63%;0,00;375.151.000,00;0,16;7,10%
CSED3;3,44;9,49;0,85;0,513;9,57%;0,259;18,75;3,07;-0,55;4,16;2,53;16,71%;5,41%;1,07;9,94%;8,94%;2.297.070,00;1.478.500.000,00;0,73;10,80%
PSSA3;36,45;9,49;1,83;0,682;4,53%;0,527;9,64;0,83;-4,28;0,43;0,42;82,66%;7,30%;1,10;85,55%;19,25%;50.735.300,00;12.897.600.000,00;0,00;19,02%
SANB3;13,76;9,59;1,18;0,000;5,58%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;12,29%;1.387.570,00;87.557.200.000,00;0,00;4,79%
CTWR3;100,00;9,76;56,77;0,317;0,00%;1,141;3,79;-10,64;-142,17;-8,91;-8,91;-2,98%;3,25%;1,45;-21,86%;581,91%;0,00;879.000,00;5,52;4,94%
VIVO4;71,80;9,81;2,93;1,491;0,00%;1,282;-31,87;6,78;-5,17;7,22;7,22;22,01%;15,20%;0,89;23,92%;29,88%;0,00;9.816.290.000,00;0,35;13,06%
EMAE4;39,28;9,82;1,27;2,301;7,47%;0,680;1,77;20,41;-24,34;14,43;13,14;11,28%;23,43%;8,21;4,18%;12,93%;193.883,00;1.142.520.000,00;0,00;9,52%
VULC4;18,00;9,87;2,37;1,716;0,00%;1,724;3,22;9,18;3,73;9,09;7,65;18,69%;17,38%;3,69;23,23%;23,99%;0,00;2.087.490.000,00;0,18;28,81%
TCSL4;7,82;9,95;0,83;1,105;0,00%;0,475;8,93;5,69;-2,20;5,61;2,18;19,44%;11,11%;1,34;9,67%;8,33%;0,00;22.847.800.000,00;0,14;2,29%
JSLG3;9,08;9,98;1,43;0,310;3,49%;0,203;1,33;2,57;-0,42;8,49;5,57;12,08%;3,11%;1,68;10,13%;14,34%;5.054.710,00;1.816.360.000,00;4,68;55,00%
SANB11;28,68;9,99;1,23;0,000;5,62%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;12,29%;61.473.000,00;87.557.200.000,00;0,00;4,79%
HYPE3;26,70;10,00;1,41;2,114;4,44%;0,667;4,19;6,92;-3,56;9,93;8,95;30,52%;21,11%;1,89;11,02%;14,08%;101.902.000,00;12.014.900.000,00;0,85;21,99%
MRSL3;3,30;10,25;0,99;0,883;0,00%;0,658;2,37;16,32;6,28;17,74;9,50;5,41%;8,69%;2,78;4,44%;9,63%;0,00;375.151.000,00;0,16;7,10%
BRIT3;3,01;10,26;0,88;1,027;2,90%;0,410;12,06;6,28;-1,19;10,42;3,86;16,36%;10,00%;1,22;7,75%;8,55%;2.034.040,00;1.541.980.000,00;0,83;24,60%
ITUB4;36,76;10,27;1,95;0,000;6,39%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;18,96%;834.096.000,00;185.129.000.000,00;0,00;68,50%
NUTR3;4,67;10,30;1,65;0,324;0,00%;0,541;1,81;4,97;15,01;4,50;4,21;6,52%;3,15%;1,73;14,86%;15,98%;34.006,70;37.579.000,00;0,22;28,74%
